month,views,article,access_type
2019-04-01,402,Achelousaurus,mobile
2019-05-01,393,Achelousaurus,mobile
2019-06-01,385,Achelousaurus,mobile
2019-07-01,390,Achelousaurus,mobile
2019-08-01,412,Achelousaurus,mobile
2019-09-01,423,Achelousaurus,mobile
2019-10-01,371,Achelousaurus,mobile
2019-11-01,317,Achelousaurus,mobile
2019-12-01,357,Achelousaurus,mobile
2020-01-01,406,Achelousaurus,mobile
2020-02-01,449,Achelousaurus,mobile
2020-03-01,434,Achelousaurus,mobile
2020-04-01,511,Achelousaurus,mobile
2020-05-01,601,Achelousaurus,mobile
2020-06-01,490,Achelousaurus,mobile
2020-07-01,474,Achelousaurus,mobile
2020-08-01,520,Achelousaurus,mobile
2020-09-01,465,Achelousaurus,mobile
2020-10-01,426,Achelousaurus,mobile
2020-11-01,440,Achelousaurus,mobile
2020-12-01,27734,Achelousaurus,mobile
2021-01-01,28584,Achelousaurus,mobile
2021-02-01,133334,Achelousaurus,mobile
2021-03-01,140592,Achelousaurus,mobile
2021-04-01,96952,Achelousaurus,mobile
2021-05-01,111817,Achelousaurus,mobile
2021-06-01,85159,Achelousaurus,mobile
2021-07-01,101499,Achelousaurus,mobile
2021-08-01,87343,Achelousaurus,mobile
2021-09-01,10647,Achelousaurus,mobile
2021-10-01,2485,Achelousaurus,mobile
2021-11-01,3770,Achelousaurus,mobile
2021-12-01,7424,Achelousaurus,mobile
2022-01-01,11033,Achelousaurus,mobile
2022-02-01,15325,Achelousaurus,mobile
2022-03-01,22676,Achelousaurus,mobile
2022-04-01,22242,Achelousaurus,mobile
2022-05-01,5340,Achelousaurus,mobile
2022-06-01,11576,Achelousaurus,mobile
2022-07-01,24269,Achelousaurus,mobile
2022-08-01,49787,Achelousaurus,mobile
2022-09-01,41931,Achelousaurus,mobile
2015-07-01,113592,Tyrannosaurus,mobile
2015-08-01,61089,Tyrannosaurus,mobile
2015-09-01,47233,Tyrannosaurus,mobile
2015-10-01,63541,Tyrannosaurus,mobile
2015-11-01,56612,Tyrannosaurus,mobile
2015-12-01,58915,Tyrannosaurus,mobile
2016-01-01,58867,Tyrannosaurus,mobile
2016-02-01,50665,Tyrannosaurus,mobile
2016-03-01,58583,Tyrannosaurus,mobile
2016-04-01,59570,Tyrannosaurus,mobile
2016-05-01,77801,Tyrannosaurus,mobile
2016-06-01,60696,Tyrannosaurus,mobile
2016-07-01,51209,Tyrannosaurus,mobile
2016-08-01,46501,Tyrannosaurus,mobile
2016-09-01,43376,Tyrannosaurus,mobile
2016-10-01,45844,Tyrannosaurus,mobile
2016-11-01,45249,Tyrannosaurus,mobile
2016-12-01,52886,Tyrannosaurus,mobile
2017-01-01,55088,Tyrannosaurus,mobile
2017-02-01,47922,Tyrannosaurus,mobile
2017-03-01,58853,Tyrannosaurus,mobile
2017-04-01,50391,Tyrannosaurus,mobile
2017-05-01,53003,Tyrannosaurus,mobile
2017-06-01,47399,Tyrannosaurus,mobile
2017-07-01,52405,Tyrannosaurus,mobile
2017-08-01,43804,Tyrannosaurus,mobile
2017-09-01,37431,Tyrannosaurus,mobile
2017-10-01,43005,Tyrannosaurus,mobile
2017-11-01,45931,Tyrannosaurus,mobile
2017-12-01,54339,Tyrannosaurus,mobile
2018-01-01,58190,Tyrannosaurus,mobile
2018-02-01,46416,Tyrannosaurus,mobile
2018-03-01,49067,Tyrannosaurus,mobile
2018-04-01,51915,Tyrannosaurus,mobile
